DATA_MONTH	ITEM_ID	ITEM_NAME	BRAND_ID	BRAND_NAME	ITEM_PRICE	ITEM_SALES_VOLUME	ITEM_SALES_AMOUNT	CATE_NAME_LV1	CATE_NAME_LV2	CATE_NAME_LV3	CATE_NAME_LV4	CATE_NAME_LV5	ITEM_FAV_NUM	TOTAL_EVAL_NUM	ITEM_STOCK	ITEM_DELIVERY_PLACE	ITEM_PROD_PLACE	ITEM_PARAM	USER_ID	SHOP_NAME
202301	564900159316	法语动词变位速查手册（第四版）			17.4	12	208.8	文化玩乐	书籍/杂志/报纸	外语/语言文字	其他外语	法语	114	28	39	北京		ISBN编号:9787566913326；书名:法语动词变位速查手册(第四版)；作者:陈建伟；定价:24.00元；书名:法语动词变位速查手册(第四版)；是否是套装:否；出版社名称:东华大学出版社	1049653664	当当网官方旗舰店
202301	566444677669	心斋堂原创本命年朱砂手链 原矿晶体紫金砂手串佛珠饰品女民族风	78935831	心斋堂	239	1	239	美妆饰品	饰品/流行首饰/时尚饰品新	手链			1430	91	49	广东广州		品牌:心斋堂；材质:其他；图案:其他；风格:民族风；成色:全新；价格区间:301-400元；适用性别:女；新奇特:新鲜出炉；颜色分类:【福】紫金砂；是否现货:现货；上市时间:2018年春季；货号:BS0114；镶嵌材质:未镶嵌；是否商场同款:否；销售渠道类型:天猫尊享款	793515647	心斋堂旗舰店
202301	567481931472	做一个心平气和的女人			18.4	1	18.4	文化玩乐	书籍/杂志/报纸	自我实现/励志	心灵与修养		54	13	2	北京		ISBN编号:9787518047192；书名:做一个心平气和的女人；作者:瀚文；定价:36.80元；书名:做一个心平气和的女人；是否是套装:否；出版社名称:中国纺织出版社	1049653664	当当网官方旗舰店
202301	567609110867	ZEESEA滋色隔离霜素颜霜合一学生女旗舰店正品打底遮瑕保湿妆前乳	4632607825	ZEESEA/滋色	69.9	127241	8894145.9	美妆饰品	彩妆/香水/美妆工具	隔离/妆前			1642308	510265	59406	广东广州	中国	品牌:ZEESEA/滋色；其它隔离单品:多效修颜隔离霜；产地:中国；颜色分类:紫色. 绿色. 肤色. 紫色隔离霜+遮瑕液 绿色隔离霜+遮瑕液 肤色隔离霜+遮瑕液 【爱丽丝系列】-强保湿-淡绯紫 【爱丽丝系列】-强保湿-嫩肤色 【爱丽丝系列】-强保湿-薄荷绿 紫色隔离霜+美妆蛋+化妆棉40片 绿色隔离霜+美妆蛋+化妆棉40片 肤色隔离霜+美妆蛋+化妆棉40片；批准文号:粤G妆网备字2020022582；功效:保湿 提亮肤色 隔离 遮瑕 隐形毛孔；规格类型:正常规格；是否为特殊用途化妆品:否；限期使用日期范围:2022-05-14至2023-05-11；化妆品保质期:36个月	1773211220	zeesea滋色旗舰店
202301	624599883556	【老师推荐】一年级上册试卷 全套2册语文数学同步训练书 人教版上单元卷子黄冈课堂测试卷练习1小学上学期的课外练习题思维练习册			13.8	1	13.8	文化玩乐	书籍/杂志/报纸	考试/教材/论文	小学教辅		4	2	1478	广东广州		ISBN编号:9787519266165；书名:名师作业本小学语文1年级上册（套装）；作者:无；定价:32.00元；书名:名师作业本小学语文1年级上册（套装）；是否是套装:是；出版社名称:世界图书出版广东有限公司	1709315109	敏思文博图书专营店
202301	633352837163	时尚工装套装女潮2021春季新款短帅气酷酷街舞运动服休闲裤两件套	1044912147	诗迪意	85	10	850	服装鞋包	女装/女士精品	套装/学生校服/工作制服	时尚套装				40129	广东广州		品牌: 诗迪意；适用年龄: 25-35周岁；材质: 棉；尺码: S M L XL 2XL；颜色分类: 黑上衣690+黑裤2086（套装） 黑色上衣2097+黑裤2099（套装） 黑上衣2097+黑裤2098（套装） 白上衣5778+黑裤2086（套装） 黑上衣5778+黑裤2086（套装） 黑上衣2097+黑裤2086（套装） 黑上衣2100+黑裤2099(套装) 黑上衣690 黑裤2086；货号: W8027；成分含量: 81%(含)-90%(含)；上市年份季节: 2021年春季；销售渠道类型: 纯电商(只在线上销售)；材质成分: 棉90% 其他10%	3667813497	诗迪意旗舰店
202301	633404796991	蜀道香天椒麻辣牛肉干100g*3袋休闲辣味零食品牛肉粒特产网红小吃	84105527	蜀道香	50	1183	59150	百货食品	零食/坚果/特产	牛肉干/猪肉脯/卤味零食	牛肉类								725677994	天猫超市
202301	633544912008	361童鞋 女童鞋子2021夏季新款透气复古女童老爹鞋儿童网面运动鞋	31840	361°	159	2	318	母婴用品	童鞋/婴儿鞋/亲子鞋	运动鞋					1372	福建厦门	中国大陆	品牌: 361°；适用年龄: 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁；功能: 防滑；尺码: 33 34 35 36 37 38 39 40；风格: 休闲；产地: 中国大陆；运动鞋分类: 休闲鞋；适用性别: 女；颜色分类: 红色 黄色 嫩粉色 西米白；货号: N82113802-x；适用季节: 春秋；上市年份季节: 2021年春季；鞋底材质: EVA；配皮材质: 其他；鞋面材质: 合成革；适用人群: 小学生	1918545422	361度童装畅胜专卖店
202301	633607380699	免钉胶免打孔强力胶透明防水玻璃胶粘贴墙面固定悬挂钩置物架镜子	16757534	米乐奇	5.8	298	1728.4	家居建材	基础建材	配件专区	玻璃配件	玻璃胶			59804	广东深圳		品牌: 米乐奇；型号: 强力双面胶；颜色分类: 高粘度魔力免钉胶[宽3cm*长1米] 高粘度魔力免钉胶宽[宽3cm*长3米] 高粘度魔力免钉胶宽[宽3cm*长5米] 高粘度魔力免钉胶宽[宽5cm*长1米] 高粘度魔力免钉胶宽[宽5cm*长3米] 高粘度魔力免钉胶宽[宽5cm*长5米]	2777020216	米乐奇办公旗舰店
202301	633669276086	儿童jk制服裙正版女童春夏2021新款长袖百褶裙子全套装班服小学生	9417664138	麓幸	87	2180	189660	服装鞋包	女装/女士精品	套装/学生校服/工作制服	学生校服				124031	广东广州		品牌: 麓幸；适用年龄: 17周岁以下；尺码: 110cm 120cm 130cm 140cm 150cm 160cm 170cm；风格: 日系；款式: 裙子；颜色分类: 不死川海蓝格 少女心粉红格 星野浅紫格 树莓红枣红格 芋泥深紫格 温柔一刀宝蓝格；货号: LX0664；年份季节: 2020年冬季；袖长: 长袖；销售渠道类型: 商场同款(线上线下都销售)；材质成分: 其他100%	2209054917954	麓幸旗舰店
202301	634160098230	准者止戈篮球鞋室内外低帮实战训练运动鞋休闲透气减震回弹耐磨	358014032	RIGORER/准者	599	37	22163	运动户外	运动鞋new	篮球鞋								品牌: RIGORER/准者；鞋码: 40 41 42 42.5 43 44 45 46 47 48 49 50；颜色分类: 粉色；适合场地: 室外水泥地 室内地板；吊牌价: 999；款号: Z1211160101；是否瑕疵: 否；上市时间: 2020年冬季；鞋帮高度: 低帮；性别: 男女通用；运动系列: 篮球专业比赛鞋；是否商场同款: 是；销售渠道类型: 商场同款(线上线下都销售)	1713424658	顶护运动旗舰店
202301	634256348035	定诺三防热敏纸55-60宽*70 75 15 20 30 40 50 80 85 90 100不干胶标签条码打印纸空白贴快递E邮宝奶茶价格标	141089319	定诺	6.6	1	6.6	手机数码	办公设备/耗材/相关服务	办公用纸	标签打印纸/条码纸				2387	浙江杭州		品牌: 定诺；型号: s55-60mm；材质: 热敏纸；适用品牌: 启锐 快麦 HPRT/汉印 精臣 佳博 ZEBRA/斑马 科诚 GPRINTER GODEX Deli/得力 brother/兄弟 Argox/立象科技；颜色分类: 55*20*1500张-横板 55*25*1200张-横板 55*30*1000张-横板 55*35*1000张-横板 55*40*1000张-横板 55*45*700张-横板 55*70*500张-竖版 55*80*400张-竖版 55*90*400张-竖版 55*100*350张-竖版 60*10*3000张-横板 60*15*2000张-横板 60*20*1500张-横板 60*25*1200张-横板 60*30*800张-横板 60*35*1000张-横板 60*40*1000张-横板 60*45*700张-横板 60*50*700张-横板 60*60*600张-方形 60*70*500张-竖版 60*80*400张-竖版 60*90*400张-竖版 60*100*350张-竖版；生产企业: 杭州定诺条码科技有限公司；适用型号: GP1324D,GP1924D,QR-588,KM118,N41,GK-888T,DL-888D；上市时间: 2020-12-20；材质特性: 防油 防水 防刮	2206491393401	定诺旗舰店
